Date,PLAYER_NAME,Team,Opp,Fantasy_Team,Free_Agent,Injury_Status,Pred_MIN,Pred_FP,L3_FP_per_Min,Opp_DefRtg,Schedule_Rest,Long_Absence_Flag
2026-04-09,Drew Timme,LAL,GSW,Free Agent,True,ACTIVE,13.66,10.62,0.47,109.08,-3,0
2026-04-09,Dalen Terry,PHI,HOU,Free Agent,True,ACTIVE,12.98,10.25,1.34,108.06,-3,0
2026-04-09,Trendon Watford,PHI,HOU,Free Agent,True,ACTIVE,12.65,10.07,1.11,108.06,-3,0
2026-04-09,Dru Smith,MIA,TOR,Free Agent,True,ACTIVE,8.44,9.81,0.71,110.91,4,0
2026-04-09,Isaiah Crawford,HOU,PHI,Free Agent,True,ACTIVE,9.26,9.8,-0.15,112.06,-3,0
2026-04-09,Tristan Vukcevic,WAS,CHI,Free Agent,True,DAY_TO_DAY,14.0,9.63,1.46,115.23,4,0
2026-04-09,Pacome Dadiet,NYK,BOS,Free Agent,True,ACTIVE,10.05,9.58,0.41,111.33,-3,0
2026-04-09,Jonathan Mogbo,TOR,MIA,Free Agent,True,ACTIVE,11.12,9.56,0.57,109.96,-3,0
2026-04-09,Kevin McCullar Jr.,NYK,BOS,Free Agent,True,ACTIVE,10.43,9.25,1.34,111.33,-3,0
2026-04-09,Ochai Agbaji,BKN,IND,Free Agent,True,ACTIVE,13.76,9.11,0.48,113.46,4,0
2026-04-09,Kyle Lowry,PHI,HOU,Free Agent,True,ACTIVE,12.27,8.43,0.23,108.06,-3,0
2026-04-09,Amari Williams,BOS,NYK,Free Agent,True,ACTIVE,10.14,7.91,1.29,111.16,-3,0
2026-04-09,Jeremy Sochan,NYK,BOS,Free Agent,True,ACTIVE,12.02,7.39,1.24,111.33,-3,0
2026-04-09,Jamison Battle,TOR,MIA,Free Agent,True,ACTIVE,8.36,7.26,0.87,109.96,-3,0
2026-04-09,MarJon Beauchamp,PHI,HOU,Free Agent,True,ACTIVE,10.27,7.2,0.62,108.06,-3,0
2026-04-09,Jabari Walker,PHI,HOU,Free Agent,True,ACTIVE,9.44,6.2,0.9,108.06,-3,0
2026-04-09,Trevor Keels,MIA,TOR,Free Agent,True,ACTIVE,7.83,6.16,1.03,110.91,-3,0
2026-04-09,Vladislav Goldin,MIA,TOR,Free Agent,True,ACTIVE,6.53,5.83,0.53,110.91,-3,0
2026-04-09,Myron Gardner,MIA,TOR,Free Agent,True,ACTIVE,7.62,5.34,0.48,110.91,-3,0
2026-04-09,Tristen Newton,HOU,PHI,Free Agent,True,ACTIVE,7.0,5.31,0.24,112.06,-3,0
2026-04-09,Alijah Martin,TOR,MIA,Free Agent,True,ACTIVE,7.05,5.3,0.1,109.96,-1,0
2026-04-09,Tyler Kolek,NYK,BOS,Free Agent,True,ACTIVE,8.32,5.25,1.41,111.33,4,0
2026-04-09,Dillon Jones,NYK,BOS,Free Agent,True,ACTIVE,8.71,5.23,0.62,111.33,-3,0
2026-04-09,Jahmir Young,MIA,TOR,Free Agent,True,ACTIVE,6.16,3.12,0.93,110.91,-3,0
2026-04-09,Trayce Jackson-Davis,TOR,MIA,Free Agent,True,ACTIVE,5.32,2.59,0.49,109.96,-3,0
2026-04-09,Garrett Temple,TOR,MIA,Free Agent,True,ACTIVE,3.73,1.93,0.2,109.96,-3,0
2026-04-09,Moses Moody,GSW,LAL,Free Agent,True,OUT,0.0,0.0,0.79,114.49,4,1
2026-04-09,T.J. McConnell,IND,BKN,Free Agent,True,OUT,0.0,0.0,1.61,115.41,4,0
2026-04-09,Ben Sheppard,IND,BKN,Free Agent,True,OUT,0.0,0.0,1.12,115.41,4,0
2026-04-09,Jarace Walker,IND,BKN,Free Agent,True,OUT,0.0,0.0,1.17,115.41,-1,0
2026-04-09,Immanuel Quickley,TOR,MIA,Sensei Kensei Konichiwa,False,OUT,0.0,0.0,1.16,109.96,-3,0
2026-04-09,Aaron Nesmith,IND,BKN,Free Agent,True,OUT,0.0,0.0,0.64,115.41,4,0
2026-04-09,Andrew Nembhard,IND,BKN,Woo Shiesty,False,OUT,0.0,0.0,1.24,115.41,4,0
2026-04-09,Ivica Zubac,IND,BKN,Joe's Fatsos,False,OUT,0.0,0.0,1.03,115.41,4,1
2026-04-09,Pascal Siakam,IND,BKN,Sensei Kensei Konichiwa,False,OUT,0.0,0.0,1.51,115.41,4,0
2026-04-09,Austin Reaves,LAL,GSW,Ibrahim's Impressive Team,False,OUT,0.0,0.0,1.0,109.08,4,0
2026-04-09,Cameron Payne,PHI,HOU,Free Agent,True,OUT,0.0,0.0,1.0,108.06,4,0
2026-04-09,Quinten Post,GSW,LAL,Free Agent,True,OUT,0.0,0.0,1.04,114.49,4,0
2026-04-09,Luka Doncic,LAL,GSW,Ibrahim's Impressive Team,False,OUT,0.0,0.0,2.08,109.08,4,0
2026-04-09,Danny Wolf,BKN,IND,Free Agent,True,OUT,0.0,0.0,0.71,113.46,4,1
2026-04-09,Jalen Smith,CHI,WAS,Free Agent,True,OUT,0.0,0.0,1.08,120.41,4,1
2026-04-09,Al Horford,GSW,LAL,Free Agent,True,OUT,0.0,0.0,1.05,114.49,-3,0
2026-04-09,Norman Powell,MIA,TOR,Free Agent,True,OUT,0.0,0.0,0.47,110.91,-3,0
2026-04-09,Marcus Smart,LAL,GSW,Free Agent,True,OUT,0.0,0.0,0.94,109.08,-3,0
2026-04-09,Alex Sarr,WAS,CHI,Shang Chi,False,OUT,0.0,0.0,1.17,115.23,4,0
2026-04-09,Trae Young,WAS,CHI,Team 9,False,OUT,0.0,0.0,1.21,115.23,4,1
2026-04-09,Nick Richards,CHI,WAS,Free Agent,True,OUT,0.0,0.0,0.76,120.41,4,1
